index,evasion_label
0,General
1,General
2,Dodging
3,General
4,Dodging
5,Deflection
6,Implicit
7,Deflection
8,Implicit
9,Deflection
10,Dodging
11,Explicit
12,Implicit
13,Explicit
14,Implicit
15,Explicit
16,Implicit
17,General
18,Implicit
19,General
20,Deflection
21,Explicit
22,General
23,Deflection
24,General
25,Dodging
26,Deflection
27,Dodging
28,Implicit
29,Declining to answer
30,Explicit
31,General
32,Declining to answer
33,General
34,Implicit
35,Dodging
36,Explicit
37,Deflection
38,General
39,Partial/half-answer
40,General
41,Dodging
42,Dodging
43,Dodging
44,General
45,General
46,Explicit
47,Implicit
48,General
49,Claims ignorance
50,General
51,Explicit
52,Deflection
53,General
54,Explicit
55,Implicit
56,Claims ignorance
57,Dodging
58,Explicit
59,General
60,Explicit
61,Explicit
62,Dodging
63,Explicit
64,Implicit
65,Partial/half-answer
66,Explicit
67,Explicit
68,General
69,Explicit
70,Explicit
71,Claims ignorance
72,Clarification
73,Explicit
74,General
75,General
76,Explicit
77,Implicit
78,Dodging
79,Deflection
80,Explicit
81,Implicit
82,General
83,General
84,Declining to answer
85,Deflection
86,Dodging
87,Explicit
88,Declining to answer
89,Explicit
90,Explicit
91,Dodging
92,Deflection
93,Explicit
94,Declining to answer
95,Partial/half-answer
96,General
97,Explicit
98,Implicit
99,Dodging
100,General
101,Explicit
102,Explicit
103,Deflection
104,General
105,General
106,Implicit
107,Deflection
108,Claims ignorance
109,General
110,Deflection
111,Implicit
112,Dodging
113,Explicit
114,Implicit
115,Dodging
116,Deflection
117,Explicit
118,Implicit
119,Dodging
120,Dodging
121,Explicit
122,Explicit
123,General
124,Explicit
125,Explicit
126,Deflection
127,Implicit
128,Dodging
129,Deflection
130,Dodging
131,General
132,General
133,Explicit
134,Implicit
135,Implicit
136,Dodging
137,Implicit
138,General
139,Explicit
140,Deflection
141,Explicit
142,Deflection
143,General
144,Explicit
145,Explicit
146,Explicit
147,Explicit
148,General
149,Dodging
150,Explicit
151,Deflection
152,Deflection
153,Dodging
154,Explicit
155,General
156,Dodging
157,Implicit
158,Explicit
159,General
160,Deflection
161,Deflection
162,Implicit
163,Explicit
164,Explicit
165,Explicit
166,General
167,Dodging
168,Dodging
169,General
170,Dodging
171,Explicit
172,General
173,General
174,Explicit
175,Deflection
176,Dodging
177,General
178,Dodging
179,General
180,Deflection
181,General
182,Dodging
183,Declining to answer
184,Explicit
185,Dodging
186,Declining to answer
187,Implicit
188,Declining to answer
189,Implicit
190,Deflection
191,Explicit
192,Deflection
193,Explicit
194,General
195,General
196,Implicit
197,Deflection
198,Explicit
199,Dodging
200,Partial/half-answer
201,Deflection
202,Implicit
203,Dodging
204,Deflection
205,Implicit
206,Dodging
207,General
208,Deflection
209,Implicit
210,General
211,Dodging
212,Implicit
213,Deflection
214,General
215,Implicit
216,Deflection
217,General
218,Deflection
219,Explicit
220,Dodging
221,Explicit
222,General
223,Explicit
224,Explicit
225,Implicit
226,Implicit
227,Dodging
228,General
229,Explicit
230,General
231,Dodging
232,Deflection
233,Implicit
234,Implicit
235,General
236,Explicit
237,Clarification
238,Dodging
239,Explicit
240,Declining to answer
241,Implicit
242,Explicit
243,Partial/half-answer
244,General
245,Deflection
246,Dodging
247,Explicit
248,General
249,Explicit
250,Explicit
251,Deflection
252,Explicit
253,Dodging
254,Dodging
255,Explicit
256,Implicit
257,Explicit
258,Declining to answer
259,Explicit
260,Explicit
261,General
262,General
263,Declining to answer
264,Claims ignorance
265,Declining to answer
266,Dodging
267,Explicit
268,Explicit
269,Implicit
270,Implicit
271,Dodging
272,Deflection
273,Dodging
274,General
275,General
276,General
277,Claims ignorance
278,General
279,Implicit
280,General
281,Dodging
282,Explicit
283,Deflection
284,Implicit
285,Clarification
286,Dodging
287,General
288,Declining to answer
289,Implicit
290,Explicit
291,Explicit
292,Explicit
293,Explicit
294,Implicit
295,Dodging
296,Partial/half-answer
297,Dodging
298,Explicit
299,Explicit
300,Clarification
301,Deflection
302,General
303,Implicit
304,Deflection
305,Explicit
306,Deflection
307,Explicit
